
Couve manteiga crua,Folha média,20,gramas,27,91,4,2.9,0.5,0.1,3.1,6,96.7,131,0.5,248,403,35,0.20,0.31,2.29
Couve manteiga refogada,Colher de sopa,20,gramas,90,82,9,1.7,6.6,1.0,5.7,11,76.9,177,0.5,192,315,26,NULL,0.05,NULL
Couve-flor cozida,Colher de sopa,25,gramas,19,94,4,1.2,0.3,0.1,2.1,2,23.7,16,0.1,NULL,80,5,0.04,NULL,NULL
Espinafre Nova Zelândia crua,Colher de sopa,20,gramas,16,94,3,2.0,0.2,NULL,2.1,17,2.4,98,0.4,242,336,82,0.10,0.21,NULL
Espinafre Nova Zelândia refogado,Colher de sopa,25,gramas,67,87,4,2.7,5.4,0.9,2.5,47,5.3,112,0.6,312,149,123,0.08,0.13,NULL
Espinafre Nova Zelândia refogado com sal,Colher de sopa,25,gramas,67,87,4,2.7,5.4,0.9,2.5,400,5.3,112,0.6,312,149,123,0.08,0.13,NULL
Farinha de mandioca crua,Colher de sopa,16,gramas,361,9,88,1.6,0.3,0.1,6.4,1,NULL,65,1.1,NULL,340,37,0.14,NULL,NULL
Farinha de mandioca torrada,Colher de sopa,16,gramas,365,8,89,1.2,0.3,0.1,6.5,10,NULL,76,1.2,NULL,328,40,NULL,NULL,NULL
Farinha de puba,xícara,160,gramas,360,10,87,1.6,0.5,0.2,4.2,4,NULL,41,1.4,NULL,338,27,0.09,NULL,NULL
Fécula de mandioca,Colher de sopa,20,gramas,331,18,81,0.5,0.3,NULL,0.6,2,NULL,12,0.1,NULL,48,3,0.03,NULL,NULL
Broto de feijão cru,Colher de sopa,15,gramas,39,87,8,4.2,0.1,NULL,2.0,2,12.0,14,0.8,NULL,189,25,NULL,0.04,NULL
Inhame cru,Colher de sopa,30,gramas,97,73,23,2.1,0.2,0.1,1.7,NULL,5.6,12,0.4,NULL,568,29,0.08,NULL,NULL
Jiló cru,Colher de sopa,25,gramas,27,92,6,1.4,0.2,0.1,4.8,NULL,6.8,20,0.3,6,213,21,0.07,0.04,NULL
Jurubeba crua,Colher de sopa,25,gramas,126,67,23,4.4,3.9,0.5,23.9,1,13.8,151,0.9,NULL,619,65,0.13,0.02,NULL
Mandioca cozida,Colher de sopa,30,gramas,125,69,30,0.6,0.3,0.1,1.6,1,11.1,19,0.1,NULL,100,27,0.06,NULL,NULL
Mandioca cozida com sal,Colher de sopa,30,gramas,125,69,30,0.6,0.3,0.1,1.6,400,11.1,19,0.1,NULL,100,27,0.06,NULL,NULL
Farofa de mandioca temperada,Colher de sopa,25,gramas,406,6,80,2.1,9.1,1.9,7.8,575,NULL,66,1.4,NULL,201,34,0.10,NULL,NULL
Mandioca frita,Pedaço médio,100,gramas,300,37,50,1.4,11.2,1.7,1.9,9,NULL,23,0.3,NULL,176,95,0.05,NULL,NULL
Mandioca frita com sal,Pedaço médio,100,gramas,300,37,50,1.4,11.2,1.7,1.9,400,NULL,23,0.3,NULL,176,95,0.05,NULL,NULL
Manjeiricão cru,Colher de sopa,10,gramas,21,93,4,2.0,0.4,0.1,3.3,4,2.3,211,1.0,517,252,58,0.06,0.21,0.90
Maxixe cru,Fatia média,3,gramas,14,95,3,1.4,0.1,NULL,2.2,11,9.6,21,0.4,3,328,10,0.06,0.02,NULL
