Biscoito wafer recheado de morango,Unidade,10,gramas,513,1,67,4.5,26.4,6.7,0.8,120,NULL,14,1.1,NULL,75,19,0.36,NULL,0.37
Bisteca (carne porco) frita sem adição sal,Unidade média,100,gramas,311,47,0,33.7,18.5,6.0,NULL,63,NULL,69,0.8,10,404,29,0.34,NULL,3.25
Bolinho de arroz preparado com adição de pouco sal,Unidade,40,gramas,274,42,42,8.0,8.3,1.8,2.7,246,NULL,24,2.1,NULL,96,13,0.08,0.05,NULL
Bolinho de arroz preparado sem adição de sal,Unidade,40,gramas,274,42,42,8.0,8.3,1.8,2.7,59,NULL,24,2.1,NULL,96,13,0.08,0.05,NULL
Bolo de aipim,Pedaço grande,100,gramas,324,34,48,4.4,12.7,5.0,0.7,111,NULL,85,0.5,NULL,135,10,0.13,0.07,NULL
Bolo de côco,Fatia média,70,gramas,333,29,52,5.7,11.3,4.9,1.1,190,NULL,57,0.8,NULL,143,16,0.15,0.06,NULL
Bolo de milho,Fatia média,50,gramas,311,37,45,4.8,12.4,4.5,0.7,134,NULL,83,0.7,57,118,10,0.11,0.05,NULL
Bolo pronto de chocolate,Fatia média,60,gramas,410,19,55,6.2,18.5,5.5,1.4,283,NULL,75,2.1,NULL,212,28,0.13,0.09,NULL
Brócolis cozido sem adição de sal,Colher de sopa,10,gramas,25,93,4,2.1,0.5,0.1,3.4,2,42.0,51,0.5,NULL,119,15,0.04,0.03,NULL
Brócolis cru,Colher de sopa,10,gramas,25,91,4,3.6,0.3,0.1,2.9,3,34.3,86,0.6,140,322,30,0.12,0.18,1.39
Broto de feijão cru,Colher de sopa,15,gramas,39,87,8,4.2,0.1,NULL,2.0,2,12.0,14,0.8,NULL,189,25,NULL,0.04,NULL
Bucho bovino cozido sem adição de sal,Pedaço médio,35,gramas,133,74,0,21.6,4.5,2.4,NULL,38,NULL,13,0.6,NULL,70,7,NULL,NULL,2.18
Posta de cação frita empanada com farinha de trigo sem adição de  sal,Posta,100,gramas,208,61,3,25.0,10.0,1.5,0.5,160,NULL,30,1.0,17,420,26,NULL,NULL,0.77
Posta de cação frita com farinha de trigo com adição de pouco sal,Posta,100,gramas,208,61,3,25.0,10.0,1.5,0.5,396,NULL,30,1.0,17,420,26,NULL,NULL,0.77
Psta de cação cozida com adição de pouco sal,Posta,100,gramas,116,76,0,25.6,0.7,0.2,NULL,294,NULL,10,0.3,12,249,21,NULL,0.04,9.77
Posta de cação cozida sem adição de sal,Posta,100,gramas,116,76,0,25.6,0.7,0.2,NULL,115,NULL,10,0.3,12,249,21,NULL,0.04,9.77
Cacau cru,Colher de sopa,6.5,gramas,74,79,19,1.0,0.1,NULL,2.2,1,13.6,12,0.3,NULL,72,25,0.25,NULL,NULL
Café infusão 10%,Copo cafézinho,50,mL,9,97,1,0.7,0.1,NULL,NULL,1,NULL,3,NULL,NULL,156,10,NULL,NULL,NULL
Pó de café torrado,Colher de sopa,10,gramas,419,3,66,14.7,11.9,5.3,51.2,1,NULL,107,8.1,NULL,1609,165,NULL,NULL,11.89
Cajá-Manga cru,Unidade média,55,gramas,46,87,11,1.3,NULL,NULL,2.6,1,26.7,13,0.2,NULL,119,11,0.11,NULL,NULL
Caju cru,Unidade pequena,20,gramas,43,88,10,1.0,0.3,NULL,1.7,3,219.3,1,0.2,7,124,10,NULL,NULL,NULL
Caldo de carne em tablete,Unidade,23,gramas,241,3,15,7.8,16.6,7.8,0.6,22180,NULL,129,NULL,NULL,218,22,0.70,0.07,NULL
Caldo de cana,Copo duplo,240,mL,65,82,18,NULL,NULL,NULL,0.1,NULL,2.8,9,0.8,NULL,18,12,NULL,NULL,NULL
Caldo de galinha em tablete,Unidade,23,gramas,251,3,11,6.3,20.4,9.4,11.8,22300,NULL,16,0.7,NULL,68,13,0.05,0.04,NULL
Camarão à baiana preparado com adição de pouco sal,Unidade,40,gramas,101,82,3,7.9,6.0,1.6,0.4,264,4.1,43,1.4,NULL,139,15,NULL,NULL,0.31
Camarão à baiana preparado sem adição de sal,Unidade,40,gramas,101,82,3,7.9,6.0,1.6,0.4,85,4.1,43,1.4,NULL,139,15,NULL,NULL,0.31
Camarão Rio Grande grande cozido  sem adição de sal,Unidade grande,30,gramas,90,79,0,19.0,1.0,0.4,NULL,367,NULL,90,1.3,20,102,19,NULL,NULL,1.07
